-85,240,38
-115,-241,50
109,-237,45
-224,-231,48
206,-229,45
-30,-222,48
110,-169,43
30,-144,48
-226,-143,41
-143,-129,45
234,-129,43
-71,-125,45
114,-88,43
184,-80,38
-148,-69,45
263,-43,38
-230,-40,41
115,4,41
217,31,36
-239,43,38
-159,59,43
273,76,38
-236,130,34
154,132,36
222,128,36
-165,134,38
-66,140,38
88,149,36
257,190,38
-165,200,38
111,204,34
35,232,34
-246,234,31
-85,241,36
-177,-243,48
30,-235,45
-69,-229,48
272,-190,43
-164,-175,43
-252,-168,41
95,-158,43
6,-147,48
-93,-144,48
203,-145,38
-176,-110,38
-246,-68,41
205,-76,2
-141,-28,45
-200,5,41
246,7,36
165,36,38
-218,63,38
221,80,36
-235,129,36
-166,132,36
120,125,-2
261,161,41
6,196,34
-88,195,36
208,195,38
109,204,34
-146,222,36
54,256,31
122,-242,45
-252,-234,48
30,-235,45
223,-201,45
-117,-186,48
-31,-157,48
-256,-161,43
-165,-126,43
255,-113,41
156,-98,41
-120,-66,41
-209,-57,38
179,-27,38
244,7,38
-217,19,38
152,64,36
4,147,41
80,156,36
-179,204,36
-254,205,31
-91,203,0
190,205,-2
-49,235,31
271,232,38
53,252,-2
209,-230,45
86,-224,45
-87,-213,48
-206,-208,45
26,-185,43
-95,-139,48
238,-137,43
137,-134,41
-202,-126,43
20,-115,45
200,-72,41
-172,-60,38
-223,-6,41
245,7,38
-154,38,41
-250,63,38
152,64,36
251,96,27
4,148,38
80,156,36
-180,204,36
-254,205,31
190,205,-2
-92,202,-5
-49,234,34
273,234,36
53,250,-2
209,-230,45
86,-224,45
-206,-210,45
26,-185,43
-70,-200,9
238,-137,43
137,-134,41
-202,-126,43
-95,-120,41
200,-72,41
-129,-42,45
-221,-31,38
244,7,38
-159,40,41
-250,61,38
152,64,36
251,98,27
-159,118,38
-85,126,38
-222,136,34
4,147,41
80,158,36
-180,204,36
-255,204,36
189,204,0
-108,215,36
-47,235,31
271,232,38
53,252,-5
